issuer_borrower_parent_country,issuer_borrower_parent,borrower,total_amount
Thailand,PTT Global Chemical PCL,8,3361.063283191013
Thailand,TPI Polene PCL,14,2518.531569541866
Thailand,Energy Absolute PCL,6,744.0817851506179
Indonesia,Barito Pacific TBK PT,8,400.77448800491817
Malaysia,Hanwha Group,1,35.5703106473797
