sdc_deal_number_1,project_name_x,project_country_x,developer_parent,developer_parent_country
154087560356,Johor Ammonia Receiving Terminal & New Combined Cycle Gas Turbine Power Plant Project,Malaysia,MMC Group,Malaysia
154087493880,"Mitsubishi / Pertamina / Pupuk Indonesia Hydrogen, Ammonia Value Chain & CCUS Project",Indonesia,Mitsubishi Corp,Japan
154087493880,"Mitsubishi / Pertamina / Pupuk Indonesia Hydrogen, Ammonia Value Chain & CCUS Project",Indonesia,State-owned [Pertamina],Indonesia
154087493880,"Mitsubishi / Pertamina / Pupuk Indonesia Hydrogen, Ammonia Value Chain & CCUS Project",Indonesia,State-owned [Pupuk],Indonesia
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,Energia Group,Japan
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,Kawasaki Kisen Kaisha Ltd,Japan
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,Japan Petroleum Exploration Co,Japan
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,JGC Group,Japan
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,JFE Holdings,Japan
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,State-owned [Petronas],Malaysia
154088282663,Bintulu Offshore Carbon Capture & Storage Project,Malaysia,(cannot be confirmed) - Nippon Gas Line Co Ltd,Japan
154088564877,Jurong Island Ammonia Power & Bunkering Project,Singapore,State-owned [MPA],Singapore
154088564877,Jurong Island Ammonia Power & Bunkering Project,Singapore,State-owned [EMA],Singapore
154087383928,Batangas Gas Fired Power Project,Philippines,Ayala Corporation,Philippines
154087383928,Batangas Gas Fired Power Project,Philippines,Gen-X Energy Group,United States
154087382930,550000 t/y Pulau Bukom Sustainable Aviation Fuel & Hydrotreated Vegetable Oil & Renewable Chemicals Plant Project,Singapore,Shell PLC,United Kingdom
154088274363,Asri Basin Carbon Capture Storage (CCS) Hub Project,Indonesia,Exxon Mobil Corp,United States
154088274363,Asri Basin Carbon Capture Storage (CCS) Hub Project,Indonesia,State-owned [Pertamina],Indonesia
154088274363,Asri Basin Carbon Capture Storage (CCS) Hub Project,Indonesia,State-owned [Korea National Oil Corp],South Korea
154087795889,Jurong Island Decarbonized Hydrogen Import Project,Singapore,Mitsubishi Corp,Japan
154087795889,Jurong Island Decarbonized Hydrogen Import Project,Singapore,Chiyoda Corp,Japan
154087795889,Jurong Island Decarbonized Hydrogen Import Project,Singapore,State-owned [Temasek],Singapore
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,POSCO Co Ltd,South Korea
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,Lotte Group,South Korea
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,Samsung Group,South Korea
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,State-owned [SEDC],Malaysia
154087700640,Sarawak H2biscus Green Hydrogen & Ammonia Project,Malaysia,State-owned [Korea National Oil Corp],South Korea
154087647467,IRPC Industrial Park Ultra Clean Fuel Project,Thailand,Irpc PCL,Thailand
154087371044,1.3 GW Samalaju Industrial Park & Port Green Hydrogen & Ammonia Generation Facility Project,Malaysia,State-owned [SEDC],Malaysia
154087371044,1.3 GW Samalaju Industrial Park & Port Green Hydrogen & Ammonia Generation Facility Project,Malaysia,H2X Global Ltd,Australia
154087371044,1.3 GW Samalaju Industrial Park & Port Green Hydrogen & Ammonia Generation Facility Project,Malaysia,Thales Group,France
154088367576,Sumitomo/ENEOS/SEDC Energy Sarawak Green Hydrogen & MCH Production Plant Project,Malaysia,Sumitomo Corp,Japan
154088367576,Sumitomo/ENEOS/SEDC Energy Sarawak Green Hydrogen & MCH Production Plant Project,Malaysia,ENEOS Holdings,Japan
154088367576,Sumitomo/ENEOS/SEDC Energy Sarawak Green Hydrogen & MCH Production Plant Project,Malaysia,State-owned [SEDC],Malaysia
154085559639,1200000 t/y Laos Potash Project,Laos,FYI Resources Ltd | Yuntianhua Group,Australia | China
154088247772,Pusri IIIB Project,Indonesia,State-owned [Pupuk],Indonesia
