issuer_borrower_parent_country,issuer_borrower_parent,borrower,total_amount
Thailand,Energy Absolute PCL,1,1016.28311389146
Indonesia,Barito Pacific TBK PT,2,834.4266329699999
Philippines,JG Summit Holdings Inc,1,250.950545337896
Malaysia,Petroliam Nasional Bhd,1,66.119150988905
Vietnam,PetroVietnam Chemical & Services Corp,2,34.3231438347784
Vietnam,Son Ha International Corp,3,32.19986610117607
Malaysia,Daya Materials Bhd,4,23.46353921365391
Malaysia,Propel Global Bhd,2,3.9736063635406
Thailand,Siam Cement Group,1,0.0
